id;display_name;tube_types;manufacturer_scope;anode_voltage;nominal_anode_current_ma;max_anode_power_w;screen_voltage;nominal_screen_current_ma;max_screen_power_w;reason;source_sha256
MFR26_6F6G_BRIMAR_102d986784;[BLOKADA v2.44] 6F6G — Brimar — READY;6F6G;Brimar;285.0;38.0;11.0;285.0;7.0;3.75;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;0c9bf907b7f7f3e02c6668e3dab0f28a1626419f245ec30c67de365a9daa26a9
MFR21_EL34_BRIMAR_8890f00c4c;[BLOKADA v2.44] EL34 — Brimar — READY;EL34;Brimar;250.0;100.0;25.0;250.0;15.0;8.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;fdbf4fc450639f8a82a3c1190857e1820fe7819f10d8ce0e595674bad0b6d0a4
MFR25_EL84_BRIMAR_fdc4bec930;[BLOKADA v2.44] EL84 — Brimar — READY;EL84;Brimar;250.0;48.0;12.0;250.0;5.5;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;5cebd1684b38e5450da787910183d6f4fee95d781bb25df884a5f2cc7917475e
MFR25_ECC81_EI_cc33bda5a3;[BLOKADA v2.44] ECC81 — Ei — READY;ECC81;Ei;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;a9a0186d2f12fd3dce2d7f570e91ff982ab2907e60744686f90cd57f14fcb343
MFR25_ECC82_EI_ede2fef98b;[BLOKADA v2.44] ECC82 — Ei — READY;ECC82;Ei;250.0;10.5;2.75;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;f545a04d4bf847a5167dd5d549f163a420007af6f62299c6de55ff108bde9afc
MFR21_EL34_EI_5b86053422;[BLOKADA v2.44] EL34 — Ei — READY;EL34;Ei;250.0;100.0;25.0;250.0;14.9;8.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;c51d44dd6f48ea279d61fb1155bbf6493a189d6adb4c4dda90d029c305cfe723
MFR25_EL84_EI_5b19f36d3f;[BLOKADA v2.44] EL84 — Ei — READY;EL84;Ei;250.0;48.0;12.0;250.0;5.5;2.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;bd90fcabe1f92fcd0329a3427df76a0c3f03a893260b87306c1692135d6e3bd3
MFR_12AU7_GENERAL_ELECTRIC_6d557f313e;[BLOKADA v2.44] 12AU7 — General Electric — READY;12AU7 / 12AU7A;General Electric;250.0;10.5;2.75;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;975e2c6467843db78859e2f86c42ea46a3f893e19788405055b87651d24b2c14
MFR21_12AU7A_GENERAL_ELECTRIC_5ae46dd9bc;[BLOKADA v2.44] 12AU7A — General Electric — READY;12AU7A;General Electric;250.0;10.5;2.75;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;975e2c6467843db78859e2f86c42ea46a3f893e19788405055b87651d24b2c14
5899_GE_100_100;[BLOKADA v2.44] 5899 — General Electric — READY;5899;General Electric;100.0;7.2;0.75;100.0;2.0;0.35;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;a4f99c12e7e868e073d63a4862ec2aea1a2f21d4b1f61eae02ff80919242aec1
